Other,English
-fine,female
-ku,I
a,"an, of, at"
a,the
a ai?,whose?
A au ka se tuku,I shall not give
a fea?,at what time?
A ia e supa ki,He is extremely stupid
A ia ko tuku,he gives
A koe ne tele aia?,why did you run?
a koutou,your (pl)
a latou,their
a laua,their
A manafa konei-e o ai?,These lands-whose are they?
a matou,our
a maua,our
A pulou konei-e o ai?,These hats-whose are they?
a tatou,our
a taua,our
A umanga kola-e o ai?,Those gardens-whose are they?
A vaka kola-e o ai?,Those canoes-whose are they?
aa,what?
aafea,when?
aakau,branch
aakau,to stick
aavaga,husband
afe,one thousand
afi,fire
agi,to blow
aho,day
ai,who?
aka,"root, for the comparative degree"
ake,for the comparative degree
aku,"my, mine"
alati,to scratch
alelo,tongue
alo,belly
ama,wife
ana,"his, at"
ana fea?,at what time? (past)
angafulu,ten
angafulu ma lua,twelve
angafulu ma tasi,eleven
angafulu ma tolu,thirteen
anu,to spit
ao,day
ate,liver
ato,thatch
atu,for the comparative degree
au,"your, smoke, I, thy"
Aumai se pi maku,bring me a drinking nut for me
Aumai se pi moku inu ake,bring me a green coconut
Aumai se potu tifa,Bring me a piece of pearl shel
E a ai a fangongo kona?,Whose are those coconut shells
E a ai ika konei?,Whose fish are these?
E a ai tamaliki kola?,Whose are those children?
E a ai tamaliki kola?,Whose children are those?
E a ai te fatu na?,Whose stone is that?
E a ai te ika?,Whose is the fish?
E a ai te lakau?,Whose is the stick?
E a ai te mea nei?,Whose is this thing?
E a ai te meakai na?,Whose is that food?
E a ai te ngaluenga?,Whose is the work?
E a ai te toki?,Whose is the adze?
E a aku,They are mine
E fai mo te a te lase na?,what is that lime for?
E faipati koe ki te a?,what are you speaking about?
E fakalongo koe ki te a?,to what are you listening?
E fia?,How many?
E iai ne vai i te ipu na?,is there any water in that cup
E isi sau foe na?,have you a paddle there?
E kai koe i ai?,with whom are you eating?
E loa aka (ake) te lakau nei,This stick is longer
E o ai fale kola?,Whose are those houses?
E o ai fale kola?,hose are those houses?
E o ai te fale?,Whose is the house?
E o ai te fenua?,Whosc homeland is it?
E o ai te manafa?,Whose is the land?
E o ai te pulou nei?,Whose hat is this?
E o ai te pulou nei?,whose is this hat?
E o ai te umanga?,Whose garden?
E o ai te vaka na?,Whose is that canoe?
E o ai vaka kola?,Whose are those canoes?
E tasi te vaka,one canoe
E tele koe.i te a?,what are you running for?
E tokotolu,Three
E tuku ne au,I give
E tuku ne ia,he gives
E tuku ne koe,you give
E tuku ne koulua,you give (dual)
E tuku ne koutou,you give (pl.)
E tuku ne latou,they give
E tuku ne matou,we give (pl. exlusive)
E tuku ne maua,we give
E tuku ne taua,we give (dual inclusive)
efa,wide
efu,dust
ehe,if
eva,to fly
fa,"to tie up, four"
fa ngafulu,fourty
faa,"to split, four"
faafine,women
fafine,female
Fafine,woman
fafo,the outside
Faifainga a ai?,Whose actions?
fakakai,a village
fana,"to shoot, warm"
fatitili,thunder
fatu,stone
fau,to tie up
fe,to swell
fea,where?
fea te vaka ne ta ne ia?,which is the canoe he built?
fea?,what place?
fefelo,yellow
felo,yellow
fete,to swell
fetuu,star
fili,to choose
fitu,seven
fitu,seven
fofo,the outside
foou,new
fu,to swell
fua,egg
fua,fruit
fuaefa,large
fula,to swell
fulu,"hair, feather"
fuu,sand
gafulu,ten
haga,to work
hale,house
he,to cut
hee,no
hega,yellow
hegahega,yellow
hele,to cut
higa,to fall
hihiu,wet
hinu,fat
hna,his
ho,to stab
hohongi,to snif
hoka,to stab
homo,to grow
huki,to stab
i,at
I ai?,with whom?
i lunga,upon
i lunga i,upon
I tau tamalikinga,in your childhood
I te a?,for what?
ia,"he/she, he"
igoa,name
ihi,to cut
ihu,nose
ika,fisk
iloa,to know
inu,to drink
Iua ngafulu,twenty
iva,nine
ivi,bone
Ka tuku ne au,I shall give
Ka tuku ne ia,he will give
Ka tuku ne koe,you will give
Ka tuku ne koulua,you shall give
Ka tuku ne koutou,you shall give
Ka tuku ne latou,they shall give
Ka tuku ne matou,we shall give
Ka tuku ne maua,we shall give
Ka tuku ne tatou,we shall give
Ka tuku ne taua,we shall give
kaakii,neck
Kafai e to te ua ka siu tatou,If it rains we shall get wet
kai,"to eat, sharp"
kaiaa,to steal
kakau,to swim
kamo,to steal
kanofi,meat
kapakau,wing
kata,to laugh
katoa,all
kau,I
ke,thou
ke,you
Ke se tuku ne au,that I may not give
kele,earth
kelemutu,worm
keli,to dig
kenu,to dig
ki,for the superlative degree
Ki ai?,to whom?
ki lunga ki,to the top of
Ki te a?,about what?
kimoa,rat
kkafi,to know
ko,yonder place
Ko ai na?,who is there?
Ko ai te tama tena?,who is that person?
Ko ai tou ingoa?,What is your name?
Ko ia tenei,this is he
Ko Penaia tona ingoa,his name is Penaia
Ko toku fale tena,that is my house
Ko tuku ne Penaia,Penaia gives
Ko vau koe,you have come
Ko vau koe?,have you come?
koe,thou
Koi kautia mai lunga nei?,Who are banded here above?
kola,those away from us
kona,those near you
kona,belly
Konei aku tama,these are my children
koopuu,belly
kopa,to fly
koulua,"you (dual), you two"
koutou,"you (pl), you (more than two)"
kukumi,to sueeze
kula,red
kulii,dog
kutu,louse
La manafa,their lands
La tama,their children
laalaa,branch
lafalafa,wide
lagi,sky
lahi,big
lakau,sticks
lalo,"below, the bottom"
lamu,to chew
lapa,lightining
latou,they
lau,"wide, to count"
lau,narrow
lau liki,narrow
laua,they
lauefa,wide
lauliki,narrow
lauulu,hair
leveleve,spider
lii,to tie up
liki,small
liki,narrow
lima,five
lima,hand
loa,long
loto,the inside
Lu fale,your houses
Lu fangongo,your coconut shells
lua,two
lua,to vomit
lua sefulu,twenty
lunga,"above, the top"
ma,"warm, for"
ma,to split
Ma se tuku ne au,if I should not give
Ma tama,our children
Ma tuku ne au,if I should give
Ma tuku ne ia,if he should give
Ma tuku ne koe,if you should give
Ma tuku ne koulua,if you should give
Ma tuku ne koutou,if you should give (1)
Ma tuku ne latou,if they should give
Ma tuku ne matou,if we should give
Ma tuku ne maua,if we should give
Ma tuku ne tatou,if we should give (1)
Ma tuku ne taua,if we should give
maa,"shy, we"
maa,and
maa,we
maanava,to breathe
maatolu,thick
maatua,mother
maavava,to yawn
maea,rope
mafi,strong
mahaki,painful
mai,from
mai lunga i,from upon
maloo,dry
mama`o,far
mamaa,shy
mamae,painful
mamafa,heavy
Mana se tuku ne au,I should not give
manatu,to think
manava,belly
manifi,thin
mano,one thousand
manu lele,bird
masina,moon
mata,eye
matagi,wind
mataku,to fear
matau,right
matau,to know
mate,to die
matou,we
matua,old
maua,"above, we"
maualunga,above
maui,left
mauku,grass
me,if
me ehe,if
mea,if
mea,red
Mea a ai?,Whose things?
meamea,red
meehe,if
miti,to dream
miti,"to suck, salt"
mmelo,red
mmuni,to hide
mo,"and, for"
Mo a te fale na?,for what is that house?
Mo a?,for what?
Mo Penaia,for Penaia
mo te a?,for what?
moana,sea
moe,to sleep
Moi se tuku ne,if I had not given
Moi tuku ne au,if I have given
Moi tuku ne maua,if I had given
moko,cold
mokotia,cold
moto,green
motu,to cut
mua,the front
muli,the rear
na,that near you
naga,year
namo,lake
namu,mosquito
naua lunga,above
ne,some
Ne fai pefea ne ia?,how did he do it?
Ne tuku ne au,I gave
Ne tuku ne ia,he gave
Ne tuku ne koe,you gave
Ne tuku ne koe ki ai?,to whom did you give it?
Ne tuku ne koulua,you gave
Ne tuku ne koutou,you gave
Ne tuku ne latou,they gave
Ne tuku ne matou,we gave
Ne tuku ne maua,we gave
Ne tuku ne tatou,we gave (1)
Ne tuku ne taua,we gave
nei,"these near me, the present"
ngaluenga,work
ngauta,inland
ni,some
nifo,tooth
noa,to tie up
nofo,to sit
nui,full
o,of
O ai?,whose?
O ngalue,to work
o pepelo,to lie
o sosolo,to wipe
o totolo,to creep
O tuku,to place
O tupu,to happen
oku,my
Oku fale vaka,my canoe sheds
Oku taka,my sandals
Oku tupuna,my ancestors
ola,to live
Olotou fale,their houses
Omamainga a ai?,Whose visits?
ona,his
Ona pulou,his hats
ona vae,his legs
ono,six
Otou umanga,your gardens
ou,your
Ou vaka,thy canoes
pa,dust
paa,to hit
pakapaka,thin
pakau,needle
paki,needle
palapala,dirty
patu,to hit
pei,to throw
pili,near
pogaa,spider
pogaaleveleve,spider
poo,night
poouli,night
popo,rotten
puaka fafine,sow
puaka tangata,boar
puaki,to spit
puhi,to blow
puke,to hold
pukupuku,small
pukupuku,short
rau,one hundred
Sa tuku,don't give...
saale,to walk
se,an
Se a te ingoa o te mea na?,What is the name of that?
Se a tou taofl?,what is your opinion?
Se a?,What?
Se ai ne lakau loa i konei,There are not any long sticks
Se fale lelei tenei,this is a good house
se lau,one hundred
se lau lua ngafulu ma lima,125
Se puke aku!,Don't touch me there!
Se tuku ne au,I do not give
se vaka lelei,a good canoe
sefulu,ten
sefulu lua,twelve
sefulu tasi,eleven
sefulu tolu,thirteen
Sei se tamaflne ngali pela,She is the most beautiful girl
Sei se tangata mafl pela,He is the strongest man of all
Sei soku fiafia pela,I am extraordinarily happy
Seki (or siki) tuku ne au,I did not give
siiu,wet
sili,for the superlative degree
sisiu,wet
t,we
ta,"our, to open"
Ta faifainga,our actions
Ta vaka,our canoes
taa,to hit
taane,man
tagata,person
tago,to hold
tahi,one
tai,the sea shore
take,a direction
Takitasi,each separately
Takitolu,three each
taku,"my, mine"
Taku tama,my child
tala,to open
talai,to cut
taliga,ear
tama,father
Tama a ai?,Whose child?
tamafine,daughter
tamaliki,child
Tamaliki a ai?,Whose children?
Tamaliki takitokotasi,every single child
tamatangata,son
tana,father
Tangata,man
tangata,"men, male"
tasi,one
tatou,we
tau,"your, to sueeze, year, to count, thy"
Tau meakai,your food
tau naga,year
taua,we
taunaga,year
te,the
te a?,What?
Te avanga o ai?,The wife (husband) of whom?
te fale lasi,the large house
te fale nei,this house
te fale nei,these houses
te fale vaka,the canoe house
Te fea toku vaka?,Where is my canoe?
Te fea?,Which?
Te fenua o ai?,Whose homeland?
Te fenua o tatou,our homeland
te ika,the fish
te la,their
Te la lakau,their stick
Te la manafaa,their land
Te lakau,a stick
Te lakau a ai?,Whose stick?
te lotou,their
Te lotou fale,their house
Te lotou fale tela,that house yonder is theirs
Te lu fale,your house
Te lu olonga,your departure
Te lua,the second
te ma,our
Te ma tonganti,our trick
te mali,the strength
Te mea mua,the first item
te motou,our
te ngangana,the sound
Te olonga a ai?,Whose departure?
te otou,your (pl)
Te otou umanga,your garden
Te ta fatu,our stone
Te ta vaka,our canoe
Te taina o toku tamana,the brother of my father
Te tamana o ai?,Whose father?
Te tangata tomua i te lasi,A very big man indeed
Te teleatunga a ai?,Whose flight?
Te toekimua,the first born
Te tokotolu o tangata,the third person
Te tolu,the third
Te tongaflti a ai?,Whose trick?
Te tou fenua,our homecountry
Te vaka o ai?,Whose canoe?
te vave,the quickness
tea,white
"Tefea taku ""room""?",Where is my room?
"Tefea te ""bar""?",Where is the bar?
Tefea te laukele?,Where is the beach?
tela,that away from us
tena,"that near you, his"
Tena te tamana o Luao,that is Luao's father
tenei,this near me
tino,people
Tino iva,Ninety
Toki a ai?,Whose adzes?
Tokofla tino?,How many people?
tokolua,two persons
tokotasi,one person
toku,my
Toku pulou,my hat
Toku tamana,my father
Toku vae,my leg
tolu,three
tolu,three
tolu ngafulu,thirty
tomua,for the superlative degree
tona,his
Tona manafa,his land
Tona pulou,his hat
Tona vae,his leg
tonu,correct
too,to fall
toto,blood
tou,"your, we"
tou,our
Tou avanga,thy wife
Tou mafa,your weight
Tou paopao,your small canoe
Tou tupuna,our ancestors
Tou tupuna,your grandfather
tu,to hunt
tua,the outer side
tui,to sew
tuki,to hit
tuki,to pound
Tuku,give
Tuku i kona,put it there
Tuku ki a ia,give it to him
Tuku ki a Penaia,Give it to Penaia
Tuku ki loto i te fale,place it inside the house
tuli,to hunt
tunga nifo,teeth marks
tunu,to cook
tupe,to throw
tupu,to grow
Tupuna o ai?,Whose ancestors?
Tupuna o ai?,Whose ancestors?
tupunga,growth
tutu,to burn
tuu,road
tuu,to stand
tuugina,to burn
ua,rain
uà,neck
ui,to turn
ulu,"head, woods"
usu,painful
uta,inland
uu,breast
va,space between two things
vae,leg or foot
vaha,sea
vai,water
Vaka e lua,two canoes
Vaka e tolu,three canoes
Vaka o ai?,Whose canoes?
valu,eight
valu,eight
vao,woods
vava,intestines
vave,quick
velo,tail
when is your sister coming?,E vau a fea tou taina?
when will it be finished?,E oti mafea?
Whose is the stick?,E a ai lakau konei?
