Other,English
'm bo ket ...,I won't have ...
'vat,yet
-ad,means contents
-bihan,grand-
-id,diminutive
-kaer,-in-law
-unan,-self
Abardaevezh vat,good evening
Alamaneg,German
Alies 'vez brav e Breizh,It's often fine in Brittany
Amzer vrav a ra,It's a fine weather
Amzer zo ganeoc'h?,Have you got time?
An tennis a blij deoc'h?,Do you like tennis?
Arabat talmeta!,Don't touch me there!
Avel zo,It's windy
Beaj vat,good journey
Bemdez 'vez brav,It's fine every day
Bloavezh Mat,Happy New Year
Boulc'hurun!,"Good Lord!, flatulence"
Brav eo,It's fine
Breizh,Brittany
Butuniñ a rit?,Do you smoke?
C'hoant em befe da brenañ,I would like to buy
C'hwi,you (pl)
C'hwi,you (sing-formal)
C'hwi ivez?,Do you too?
C'hwi zo nevez 'barzh-amañ?,Are you new here?
Chouchenn eo,It's mead
Da belec'h emaoc'h o vont?,Where are you going?
Daoust hag eñ ho peus,Do you have
Dañsal a blij deoc'h?,Do you like dancing?
Debret 'meus,I 've eaten
Dec'h,yesterday
Deiz ha Bloaz Laouen!,Happy Birthday!
Demat,good afternoon
Demat,"good day, good morning"
Demat,"good morning, hello"
Dia ven oc'h-c'hwi?,Where are you from?
Digarezit ac'hanonon,excuse me
Digwener,"friday, next friday, last friday"
Dimerc'her,wednesday
Dimeurzh,tuesday
Dimezet oc'h?,Are you married?
Diriaou,thursday
Disadorn,"sunday, saturday"
Div eur nemet kard,A quarter till two
Div eur nemet kard,One forty-five
Dont a rit alies amañ?,Do you often come here?
E Speied emaon o chom bremañ,I live in Speied now
E kêr 'mañ,Shes' in town
E pelec'h emaoc'h o chom?,Where do you live?
Eh an da gousket,I'm leaving to bed
Ema ret din mont,I have to go
Ema ret din mont da gousket,Gotta go to sleep
Evel just,Of course
FTP,FTP
Fall eo,It's bad
Fall eo hiriv,It's bad today
GIF bev,animated GIF
Galleg,"French, French language"
Gallout a ran butuniñ?,May I smoke?
Gallout a ran kompren,I can understand
Gallout a rit deski din?,Can you teach me?
Gant mignoned emaoc'h?,Are you with friends?
Gant plijadur,you're welcome
Gast!,"beech, shit!"
Glav a ra,It's raining
Gouzout a ran ober krampouezh,I know how to make pancakes
Gouzout a rit dansal?,Do you know how to dance?
Gwelloc'h eo?,Is it better?
Ha ganit?,What about you?
Hag a nevez ?,What's new ?
Hanternoz eo,It is midnight
Heol zo,It's sunny
Hiriv eo brav,It's fine today
Hiziv,today
Iskuzit ac'hanon,excuse me
It isn't a bad weather,It isn't a bad weather
Jakez Madeg on,I'm J. Madeg
Kaoc'h!,shit
Kaozeal a rit saozneg?,Do you speak English?
Ken ar c'hentañ,so long
Kenavo,"goodbye, good-bye"
Klañv oc'h?,Are you ill?
Kompren a ran,I undrestand
Komz a ran,I speak
Komz a rit ... ?,Do you speak...?
Komz a rit brezhoneg?,Do you speak breton?
Kreizteiz eo,It is nun
Kreñv eo,it's strong
Labouret 'meus,I've worked
Leonad,man from the region of Leon
Ma doue benniget!,My God!
Mab ar c'hast!,You son of a bitch!
Mall eo debriñ koan,Time for having dinner
Mar plij,please
Mat a-walc'h,so so
Mat an traoù?,are things well?
Mat eo?,Is it good?
Me a faota din deskiñ,I want to learn
Me a gaoja,I speak
Me a gomz gant ma amezeg,I talk with my neighbour
Me zo dia,I am from
Me zo o komz gant ma amezeg,I am talking with my neighbour
Me zo o teskiñ brezhoneg,I am learning
Me zo é teskiñ,I am learning
Miz Feur,February
Mont 'ra mat ganit?,Are you alright?
Mont a ra mat?,How do you do?
Mont a ra?,How are you?
Mont a ran da labourat,I go to work
N'em eus ket klevet,I didn't hear
N'em eus ket komprenet mat,I didn't understand well
N'eus ket heol,It isn't sunny
N'eus ket koumoul,It isn't cloudy
N'on ket ivez,I'm not either
N'on ket.,I'm not
N'ouzon ket,I don't know
Naon 'meus,I'm hungry
Naoned,Nantes
Ne blij ket din,I don't like
Ne gomprenan ket,"I don't underestand, I don't understand"
Ne gomzan ket brezhoneg mat,I don't speak breton
Ne ra ket erc'h,It doesn't snow
Ne ran ket,I don't
Ne ran ket ken,I don't any longer
