Other,English
-c,tree
-j,an ending of the 2d person
-ma-,not
-mo,interrogative particle
-n,an ending of the 2d person
-sy,possess. suffix (3d person)
1a,taste
ach,hunger
ach-,to open
achy,acid
ad,name
adaš-,to err
adym,step
aha,respectful address
ahach,tree
ahu,poison
ahyz,mouth
aj,month
aja-,to pity
ajaq,pot
ajas,frost
ajax,foot
ajaz,frost
ajlan-,to revolve
ajran,kumys
ajyr-,to separate
al,scarlet
al-,to take
al-d-y,front
ala,variegated
alang,plain
alas,weakness
alhyš,blessing
alp,chief
alpawut,gentry man
alt,lower side
alyn,front
an-ar (dat.),that
an-da (loc.),that
ana,mother
ang,wild game
ankit,ostrich
anqyt,ostrich
ant,oath
anyq,ready
apaj,aunt
aq,white
aq-,to flow
aqa,respectful address
ara,space between
aran,fold
arpa,barley
arqa,back
arqytyn,gradually
art,back
arxa,back
aryš,thill
as,ermine
as-,to hang
aš-,to cross a mountain
aš-la-,to graft
aš-lyq,seed
aša-,to eat
ašyq,die
at,horse
at-,shoot
ata,ancestor
av,"chase, net"
av-ha-la-n-,to tumble
avd-,to roll
avdar-,to turn over
avuch,handful
avun-,to be consoled
awlaq,lonely
az,a little
az-,to go astray
ažy,acid
b'ork,cap
bahyr,"liver, copper"
baj,rich
baja-hy,recently
baja-qy,recently
bajram,feast
bajraq,flag
bajyl-,to fade away
bajyr,hill
bal,honey
bala,child
balaban,thick
balaq,trouser leg
balchyq,clay
baldyr,calf of leg
baldyz,a man's wife's younger sister
balta,axe
balyx,fish
baq-,watch
baqa,frog
bar,there is
bar-,to walk
barca,all
barcha,all
bärik,cap
barmaq,thumb
baš,head
bas-,to press
bat-,to sink
bataq,marsh
baw,bundle
baz,to comfort
baz-la-,to comfort
bazy,someone
bazyq,thick
bazyx,thick
bek,stable
bel,waist
belek,gift
beling,hawk
bengz,face
bengze-,be similar
bet,face
bez-,to shiver
bich-,to cut
bij,phalanx
bije,foaled mare
bil-,to know
bile-,to sharpen
bilek,forearm
bir,one
biš-,ripe
bit,louse
bit-,to be ended
bivrek,kidney(s)
biz,"we, awl"
bögrek,kidney(s)
boh-,to strangle
bohaz,throat
bohoz,throat
boj,body
boja-,to paint
bojaq,dye
bojdax,young lamb
bojun,neck
bök-lä-,plug
bol-,to become
böl-,separate
bolha-,stir up
boq,dung
bor,chalk
börü,wolf
bos,empty
boš,empty
bota,young of camel
bu,this
buchaq,angle
buchqaq,angle
büg-ül-,to bow
buha,bull
buhuw,string
büjük,big
bujur-,to order
bul-,to find
bül-,to be destroyed
bülew,whetstone
bulha-,stir up
bulut,cloud
buna-,to become mad
buqov,string
bur-,wind round
burchax,pea
bürche,flea
bürtük,grain
burun,nose
bürüš-,to wrinkle
bušurhan-,be disgusted
but,thigh
buta-,to cut branches
butaq,branch
buv,fog
buvun,joint
buz,ice
buz-,destroy
buzuv,calf
byla,also
byltyr,last year
byq-,full
byr,one
byraq-,to let
byrhy,trumpet
byzuv,calf
cajna-,to chew
cal-,"to knock down, to bind around"
calhy,scythe
calma,turban
calman,wattle
calqy,scythe
cam,pine tree
cap-,to beat
capcaq,big vessel
caq,time
cekic,hammer
cekmen,woollen cloth
cengge,jaw
chach-,sow
chah,time
chajna-,to chew
chal,grey-headed
cham,pine tree
chap-,hit
chapa,currycomb
chapchaq,big vessel
chaq-,to strike fire
chavuš,senior worker
chechek,flower
chege,temple
cheger,blackthorn
chegirdek,fruit stone
chegirtke,grasshopper
chejne-,to chew
chekirdek,fruit stone
chekmän,woollen cloth
chevir-,to twist
chichek,flower
chimde-,to pinch
chimdik,a pinch
chiprek,patch
chiri-,to rot
chirik,rotten
chivij,nail
chochqa,pig
chochuq jatahy,afterbirth
chochxa,young boy
chohy,crowd
chohy-,to peck
chök-,to kneel down
chöküch,hammer
cholaq,crippled
chom-,to swim
chöm-,to dive
chömel,haystack
chömüch,scoop
chomych,scoop
chöp,dregs
choq,many
choq-,to sting
chubuq,lash
chüj,nail
chulha-,to bind
chüpräk,patch
chuqu,delve
chuqyr,delve
chüw,nail
chyban,furuncle
chybar,pock-marked
chyj,raw
chyjyr,mischief
chymda-,to bite
chyq-,come out
chyryš,glue
chyx,dew
chyz-,to draw
cij,raw
ciprek,patch
ciri-,to rot
cirik,rotten
civir-,to twist
civre,round
cocka,child
cok-,to kneel down
