Other,English
a,to
a llavorens,then
a sota,under
abandonar,abandon
abans,before
abella,bee
aborriment,bore
abortar,abort
abrasiu,abrasive
abric,coat
abril,april
absolutament,absolutely
abstracte,abstract
acceptar,accept
ací,here
acudit,joke
adjectiu,adjective
adress,direcció
adverbi,adverb
aeroport,airport
agent,agent
agost,august
agradar,like
ahir,yesterday
aigua,water
aigua mineral,mineral water
aire,air
aixecarse,rise
aixeta,tap
aixó,it
ajuda,help
ajuntament,town hall
al llarg de,along
alegrement,happily
alegria,happiness
"algo, alguna cosa",something
algú,someone
all,garlic
allí,there
alliberar,unbind
alt,tall
altura,height
amagarse,hide
amb,with
amb compte,carefully
amor,love
amunt,up
anell,ring
anglés,English
anima,soul
animal,animal
anunci,advert
any,year
aprenent,learner
aprobar,pass
aproximadament,approximately
aquest/a,this
aquesta nit,tonight
aqui,here
aranya,spider
arbre,tree
arc de sant martí,rainbow
armada,army
armari,"cupboard, wardrobe"
arribar,arrive
arros,rice
art,art
arxiu,file
aspirina,aspirin
asustat,afraid
aterrar,land
autobus,bus
autonomia,autonomy
autopista,higway
aviat,early
avinguda,avenue
avió,"airplane, plane, aeroplane"
avui,today
baix,down
balena,whale
ball,dance
ballar,dance
bambes,trainers
banc,bank
"bany, banyar",bath
barat,cheap
barret,hat
batedora,mixer
be,fine
begut,drank
beneir,bless
benvingut,welcome
benvolgut,dear
beure,drink
biblioteca,library
bibliotecari,librarian
bici,bike
bicicleta,bike
biologia,biology
blanc,white
blau,blue
bloc de notes,notebook
boca,mouth
boda,wedding
bogeria,madness
boig,"crazy, fool"
boira,fog
bol,bowl
boli,pen
boligraf,pen
bombeta,bulb
bosc,forest
bosc,forest
bosc,wood
bossa,bag
botella,bottle
botes,boots
braç,"arm, shoulder"
bufanda,scarf
bugada,laundry
buit,empty
burxada,puncture
bus,bus
cabra,goat
cacau,cocoa
cacauer,cocoa
cadascú,each
cadascun,each
cadena,chain
cadira,chair
cafe,coffee
café,coffe
cafetera,coffee maker
calamar,squid
calcetins,socks
calendari,calendar
calent,"warm, hot"
callat,quiet
cama,leg
cambiar,change
cambrer,waiter
camell,camel
camí,"way, path"
caminar,walk
camisa,shirt
camiseta,T-shirt
camp,countryside
camp,field
cançó,song
cansat,tired
cantó,corner
cap,head
cap a,to
cap de setmana,weekend
capaç,able
capità,captain
capital,capital
car,expensive
carbassa,pumpkin
carlota,carrot
carn,meat
carnicer,butcher
carpeta,folder
carrer,street
carretera,road
carta,letter
caset,cassette
català,catalan
catifa,carpet
catorze,fourteen
caure,fall
cavall,horse
ceba,onion
celebrar,celebrate
cent,hundred
cepillo,hairbrush
cerdo,pig
certificat,certificate
cervell,brain
cervessa,beer
champú,shampoo
chaqueta,jacket
chocolata,chocolate
ciencia,science
cinc,five
cinquanta,fifty
cinqué,fifth
cinta,tape
cintura,waist
cinturó,belt
circ,circus
ciutat,city
ciutats,cities
clase,class
clau,key
clima,climate
clip,paper clip
club,club
coet,rocket
colatge,school
coll,neck
colocar,put
com,"as, how"
comandament a distancia,remote control
combinació,combination
completar,complete
composició,composition
comprant,buying
comprar,buy
comprat,bought
comunicació,communication
coneixer,meet
confirmar,confirm
congelador,freezer
consell,"advice, tip"
constipat,cold
content,happy
control,control
convenient,convenient
convertirse en,become
copiar,copy
cor,heart
corbata,tie
corredor,runner
corrent,running
correr,run
correu,mail
correu aeri,airmail
correus,post office
cos,body
cosa,thing
costat,side
cotxe,car
cova,cave
creu,cross
creuant,crossing
creuar,cross
creure,believe
cristall,glass
cua,tail
cuina,"kitchen, cooker"
cuinar,cook
cuiner,"cook, cooker"
cuir,leather
cullera,spoon
curar,heal
curt,short
d'hora,early
dalt,up
damunt,above
darrere,back
de,of
de debó,really
de seguida,immediately
de vegades,sometimes
decé,tenth
decembre,december
deixar,leave
deixar,let
demà,tomorrow
dent,tooth
dentista,dentist
dents,teeth
descobriment,discovery
descobrint,discovering
descobrir,discover
desdejuni,breakfast
desendollar,switch off
desfilada,parade
despegar,take off
despertador,"alarm-clock, alarm clock"
despres,after
deu,ten
deures,homework
dia,day
dia dels innocents,April Fool's Day
diàleg,dialogue
dibuix tecnic,technical drawing
diccionari,dictionary
diferencia,difference
diferent,different
dificil,difficult
dijous,Thursday
dilluns,Monday
dimarts,Tuesday
dimecres,Wednesday
diners,money
dinosaure,dinosaur
dinou,nineteen
"dintre, dins","inside, into"
diploma,degree certificate
dir,"say, tell"
discoteca,discotheque
diset,seventeen
dissabte,Saturday
dit,"finger, said"
dit gros del peu,toe
diumentge,Sunday
divendres,Friday
